id,created_at,updated_at,state,description,consultant_id,nonprofit_id,scheduled_for,time_slots,organization_id,conference_line_id,project_category_id,partner_organization_id,archived
102,04:55.6,05:13.7,cancelled,test.,,2036,,"{""2017-01-13 16:00:00"",""2017-01-13 18:00:00"",""2017-01-18 17:00:00"",""2017-01-19 15:00:00"",""2017-01-20 19:00:00""}",239,,20,,f
110,36:50.9,00:00.4,completed,We're creating new websites for a couple of our schools.  I want to show what those current websites look like and compare them to a couple of great school websites.  I'd then like to find out what's possible based on WordPress's platform and my own skill set.  I'm new to website management.  Thank you very much!,130022,144136,3/31/17 16:00,"{""2017-03-29 20:00:00"",""2017-03-30 20:00:00"",""2017-03-31 14:00:00"",""2017-03-31 15:00:00"",""2017-03-31 16:00:00"",""2017-03-31 17:00:00"",""2017-03-31 18:00:00"",""2017-03-31 19:00:00"",""2017-03-31 20:00:00"",""2017-03-31 21:00:00""}",4218,5,20,,f
60,08:47.4,52:12.5,cancelled,"The TASH website is a Wordpress website that was designed in-house about two years ago. To date, we have no developer on staff or contracted. Several issues stem from the Wordpress theme, such as the design, colors, and lack of accessibility features for those with visual disabilities or impairments. Some other issues involve plugins that do not work correctly and SEO optimization.",11865,11682,3/31/16 19:00,"{""2016-03-28 15:00:00"",""2016-03-28 20:00:00"",""2016-03-29 15:00:00"",""2016-03-30 15:00:00"",""2016-03-31 19:00:00"",""2016-04-01 16:00:00""}",2153,1,20,,f
95,37:31.0,00:01.8,completed,"We want to increase our online sales of tea and coffee (www.ajiritea.com). Whether that is through the use of ads, better website construction, more targeted audiences, social media, etc,, we want to know how and where to best invest our time and resources. The biggest challenge to growing our online sales is out budget and knowledge. This is where you come in! The more tea and coffee we can sell, the more women in Kenya we can employ, and the more students we can send to school.",129767,131196,9/6/16 13:00,"{""2016-08-30 14:00:00"",""2016-08-30 15:00:00"",""2016-08-30 16:00:00"",""2016-08-30 17:00:00"",""2016-08-31 13:00:00"",""2016-08-31 14:00:00"",""2016-09-06 13:00:00""}",2933,2,10,,f
53,05:42.5,00:01.9,completed,"We are currently in the process of redesigning our website, therefore, any input/recomendations will be extremley helpful.",11412,9367,3/24/16 14:00,"{""2016-03-23 15:00:00"",""2016-03-24 14:00:00"",""2016-03-24 15:00:00"",""2016-03-25 14:00:00"",""2016-03-25 15:00:00""}",1370,1,20,,f
94,43:35.7,00:11.0,completed,"Our most important customers are buyers of corporate gifts and we have been successful addressing this segment locally.  However, we have BIG goals and plenty of manufacturing capacity so we need to reach customers outside of our region. In this session, I hope to brainstorm tight-budget marketing and sales tactics to form the broad outline of a sales strategy that we can execute both short-term to reach new clients ahead of this year's Fall gift season and long-term to build a nationwide brand over time.  I will send a few initial thoughts ahead of the call to make our time most efficient, and general company background can be found at www.BellafinaChocolates.com, or the Bellafina Chocolates Facebook page or YouTube channel.  Thank you for your help!",6602,131204,8/23/16 20:00,"{""2016-08-17 20:00:00"",""2016-08-17 21:00:00"",""2016-08-23 20:00:00"",""2016-08-23 21:00:00"",""2016-08-24 20:00:00"",""2016-08-24 21:00:00"",""2016-08-30 20:00:00"",""2016-08-30 21:00:00"",""2016-08-31 20:00:00"",""2016-08-31 21:00:00""}",2934,2,10,,f
76,14:55.1,00:02.0,completed,"We are a new nonprofit with very limited money and human resources. We currently have our website built on wordpress (www.TheADI.org). It is simple and I think OK given our resources. However, we would like to bring it to the next level, if possible.. Essentially, we would like to be evaluated on: Overall look and feel; Clutter (I know that we have some); Navigation through the website; Draw to the donation page. There is probably a ton of stuff that that I cannot even think of right now. Thanks..",11381,8231,4/15/16 16:00,"{""2016-04-08 15:00:00"",""2016-04-08 16:00:00"",""2016-04-11 16:00:00"",""2016-04-15 15:00:00"",""2016-04-15 16:00:00""}",1180,1,20,,f
450,42:48.9,22:39.7,expired,"We would like to create volunteer profiles for our website, as well as make a more robust donation page.",,158662,,"{""2018-05-28 18:00:00"",""2018-05-28 19:00:00"",""2018-05-28 20:00:00"",""2018-05-29 18:00:00"",""2018-05-29 19:00:00"",""2018-05-29 20:00:00"",""2018-05-30 18:00:00"",""2018-05-30 19:00:00"",""2018-05-30 20:00:00""}",6306,,20,,f
496,44:55.0,26:09.4,expired,"We are a small grassroots board and administrative staff. We are quite successful, but would like support to review/revise our business and financial model, including to determine if our agency is sustainable long-term. We are currently operating without an Executive Director due to lack of funding, and wish to review our leadership and staff model.",,159908,,"{""2018-06-20 00:00:00"",""2018-06-20 16:00:00"",""2018-06-20 17:00:00"",""2018-06-20 18:00:00"",""2018-06-22 16:00:00"",""2018-06-22 23:00:00"",""2018-06-27 00:00:00"",""2018-06-27 17:00:00"",""2018-06-27 18:00:00"",""2018-06-29 16:00:00""}",6432,,2,,f
115,28:32.2,57:32.1,cancelled,"I want to show a taproot representative some website copy and get feedback.  Once on the call, I'll immediately email a link to relevant information.  Sorry for the last second notice, but tomorrow, May 12th would be best.  If that's too short notice, I understand.  Thank you!",130353,144136,,"{""2017-05-12 18:00:00"",""2017-05-12 18:30:00"",""2017-05-12 19:00:00"",""2017-05-15 21:00:00"",""2017-05-16 21:00:00"",""2017-05-17 21:00:00""}",4218,1,15,,f
114,45:01.7,00:01.8,completed,"Aqualogue is a startup nonprofit dedicated to aquaponics research and education. Recently, our Kickstarter campaign was successfully funded-- we have been awarded 20K in order to launch our organization! See our campaign here: https://www.kickstarter.com/projects/1014894732/aqualogue/description
And our website: http://aqualogue.org/ 
At this early stage of our organizational development, we are very much in need of assistance/guidance/coaching from experienced professionals in the nonprofit field to help us create systems and structures for human resources management. Currently, we are experiencing disagreements among staff members on how to best move forward with our HR structure. Our team has become fractured and stagnated due to disagreements on how to proceed, so we could definitely benefit from guidance on best practice recommendations.",133452,146459,5/12/17 16:00,"{""2017-05-08 15:00:00"",""2017-05-08 16:00:00"",""2017-05-08 18:00:00"",""2017-05-11 22:00:00"",""2017-05-12 16:00:00""}",4471,6,7,,f
109,18:25.7,00:08.8,expired,"My organization, which focuses on child care policy and advocacy, has developed a child care search tool web application and we are seeking assistance to understand what it would take from a technology perspective (cost, operations, development, etc.) to maintain this product. We would like to be able to assess where we are in the product development process, what an on going iterative development process would look like, and what are different options we can consider as an organization moving forward. A prototype of the product has been developed and now we need to understand what resources are critical/necessary in carrying this project forward.",,142557,,"{""2017-03-23 16:00:00"",""2017-03-23 17:00:00"",""2017-03-23 18:00:00"",""2017-03-27 17:00:00"",""2017-03-27 18:00:00"",""2017-03-27 20:00:00"",""2017-03-28 17:00:00"",""2017-03-28 18:00:00"",""2017-03-28 20:00:00"",""2017-03-28 21:00:00""}",234,,17,,f
